expirationDate,Strike,CallsOI,CallsVolume,CallLastPrice,CallIV,CallInMoney,Calls_dollarsFromStrike,Calls_dollarsFromStrikeXoi,CallLastPrice,Calls_lastPriceXoi,PutsOI,PutsVolume,PutLastPrice,Puts_lastPriceXoi,PutIV,PutInMoney,Puts_dollarsFromStrike,Puts_dollarsFromStrikeXoi,PutLastPrice,TotalOI
2023-04-06,55.0,2.0,2.0,10.76,1.0000000000000003e-05,True,7.650001525878906,15.300003051757812,10.76,21.52,12.0,12.0,2.39,28.68,0.12500875,False,7.650001525878906,91.80001831054688,2.39,14.0
2023-04-06,57.0,1.0,1.0,8.81,1.0000000000000003e-05,True,5.650001525878906,5.650001525878906,8.81,8.81,5.0,4.0,3.01,15.049999999999999,0.062509375,False,5.650001525878906,28.25000762939453,3.01,6.0
2023-04-06,58.0,1.0,1.0,8.8,1.0000000000000003e-05,True,4.650001525878906,4.650001525878906,8.8,8.8,3.0,3.0,3.38,10.14,0.062509375,False,4.650001525878906,13.950004577636719,3.38,4.0
2023-04-06,62.0,7.0,8.0,6.1,1.0000000000000003e-05,True,0.6500015258789062,4.550010681152344,6.1,42.699999999999996,3.0,3.0,5.1,15.299999999999999,0.007822421875,False,0.6500015258789062,1.9500045776367188,5.1,10.0
2023-04-06,63.0,2.0,2.0,5.6,0.007822421875,False,0.34999847412109375,0.6999969482421875,5.6,11.2,10.0,13.0,5.71,57.1,1.0000000000000003e-05,True,0.34999847412109375,3.4999847412109375,5.71,12.0
2023-04-06,64.0,4.0,4.0,6.27,0.015634843750000002,False,1.3499984741210938,5.399993896484375,6.27,25.08,13.0,4.0,6.01,78.13,1.0000000000000003e-05,True,1.3499984741210938,17.54998016357422,6.01,17.0
2023-04-06,65.0,2.0,1.0,4.5,0.0312596875,False,2.3499984741210938,4.6999969482421875,4.5,9.0,,,,,,,,,,
2023-04-06,66.0,1.0,,6.85,0.0312596875,False,3.3499984741210938,3.3499984741210938,6.85,6.85,,,,,,,,,,
2023-04-06,68.0,1.0,1.0,4.2,0.062509375,False,5.349998474121094,5.349998474121094,4.2,4.2,,,,,,,,,,
2023-04-06,69.0,2.0,,4.57,0.062509375,False,6.349998474121094,12.699996948242188,4.57,9.14,,,,,,,,,,
